时间,功率
2018-01-01 00:00:00.000000,51.446487
2018-01-01 00:14:59.999987,52.405518
2018-01-01 00:30:00.000013,49.61368
2018-01-01 00:45:00.000000,45.47921
2018-01-01 00:59:59.999987,45.96938
2018-01-01 01:15:00.000013,45.24478
2018-01-01 01:30:00.000000,48.3776
2018-01-01 01:44:59.999987,42.04802
2018-01-01 02:00:00.000013,41.366047
2018-01-01 02:15:00.000000,46.907093
2018-01-01 02:29:59.999987,32.947918
2018-01-01 02:45:00.000013,36.97583
2018-01-01 03:00:00.000000,33.0971
2018-01-01 03:14:59.999987,35.761063
2018-01-01 03:30:00.000013,44.434933
2018-01-01 03:45:00.000000,54.494064
2018-01-01 03:59:59.999987,55.15473
2018-01-01 04:15:00.000013,57.072784
2018-01-01 04:30:00.000000,64.89418
2018-01-01 04:44:59.999987,59.672813
2018-01-01 05:00:00.000013,53.748158
2018-01-01 05:15:00.000000,21.396965
2018-01-01 05:29:59.999987,12.701784
2018-01-01 05:45:00.000013,36.20861
2018-01-01 06:00:00.000000,44.946415
2018-01-01 06:14:59.999987,46.33168
2018-01-01 06:30:00.000013,51.19075
2018-01-01 06:45:00.000000,53.55635
2018-01-01 06:59:59.999987,52.448143
2018-01-01 07:15:00.000013,46.99234
2018-01-01 07:30:00.000000,47.184147
2018-01-01 07:44:59.999987,43.731647
2018-01-01 08:00:00.000013,38.46765
2018-01-01 08:15:00.000000,29.239677
2018-01-01 08:29:59.999987,31.306915
2018-01-01 08:45:00.000013,26.703583
2018-01-01 09:00:00.000000,50.721893
2018-01-01 09:14:59.999987,46.203808
2018-01-01 09:30:00.000013,70.7336
2018-01-01 09:45:00.000000,86.52557
2018-01-01 09:59:59.999987,105.45039
2018-01-01 10:15:00.000013,106.28155
2018-01-01 10:30:00.000000,90.31906
2018-01-01 10:44:59.999987,93.98468
2018-01-01 11:00:00.000013,82.34848
2018-01-01 11:15:00.000000,68.24013
2018-01-01 11:29:59.999987,58.13837
2018-01-01 11:45:00.000013,38.68077
2018-01-01 12:00:00.000000,27.6413
2018-01-01 12:14:59.999987,23.315022
2018-01-01 12:30:00.000013,18.796936
2018-01-01 12:45:00.000000,15.749361
2018-01-01 12:59:59.999987,16.090347
2018-01-01 13:15:00.000013,20.480564
2018-01-01 13:30:00.000000,23.996996
2018-01-01 13:44:59.999987,29.239677
2018-01-01 14:00:00.000013,31.072487
2018-01-01 14:15:00.000000,29.580666
2018-01-01 14:29:59.999987,32.649555
2018-01-01 14:45:00.000013,31.179047
2018-01-01 15:00:00.000000,36.29386
2018-01-01 15:14:59.999987,39.6398
2018-01-01 15:30:00.000013,35.12171
2018-01-01 15:45:00.000000,37.18895
2018-01-01 15:59:59.999987,29.793783
2018-01-01 16:15:00.000013,27.449495
2018-01-01 16:30:00.000000,30.795437
2018-01-01 16:44:59.999987,44.115257
2018-01-01 17:00:00.000013,56.13507
2018-01-01 17:15:00.000000,58.159683
2018-01-01 17:29:59.999987,66.3647
2018-01-01 17:45:00.000013,57.669514
2018-01-01 18:00:00.000000,59.885933
2018-01-01 18:14:59.999987,67.04667
2018-01-01 18:30:00.000013,77.425476
